"Country";"Region";"Year";"Birth Rate";"Business Tax Rate";"CO2 Emissions";"Days to Start Business";"Ease of Business";"Energy Usage";"GDP";"Health Exp % GDP";"Health Exp/Capita";"Hours to do Tax";"Infant Mortality Rate";"Internet Usage";"Lending Interest";"Life Expectancy Female";"Life Expectancy Male";"Mobile Phone Usage";"Number of Records";"Population 0-14";"Population 15-64";"Population 65+";"Population Total";"Population Urban";"Tourism Inbound";"Tourism Outbound";"id"
"Hong Kong SAR, China";"Asia";"12/1/2000";"0.01";"";"40465.00";"6.46154";"";"13392.00";"171668164083.00";"";"";"";"";"0.30";"0.095";"84";"78";"0.80";"1.00";"0.173";"0.72";"0.11";"6665000.00";"1.00";"8198000000.00";"12502000000.00";63
"India";"Asia";"12/1/2000";"0.03";"";"1186663.00";"35.5385";"";"457198.00";"476609148166.00";"0.04";"20.00";"";"0.067";"0.00";"0.123";"63";"61";"0.00";"1.00";"0.342";"0.61";"0.04";"1042261758.00";"0.28";"3598000000.00";"3686000000.00";64
"Indonesia";"Asia";"12/1/2000";"0.02";"";"263419.00";"73.6923";"";"154768.00";"165021012262.00";"0.02";"15.00";"";"0.041";"0.00";"0.185";"69";"65";"0.00";"1.00";"0.307";"0.65";"0.05";"208938698.00";"0.42";"4975000000.00";"3197000000.00";65
"Japan";"Asia";"12/1/2000";"0.01";"";"1219589.00";"18.9231";"";"518964.00";"4731198760271.00";"0.08";"2834.00";"";"0.003";"0.30";"0.021";"85";"78";"0.50";"1.00";"0.146";"0.68";"0.17";"126870000.00";"0.79";"5970000000.00";"42643000000.00";66
"Kazakhstan";"Asia";"12/1/2000";"0.02";"";"127769.00";"16.6923";"";"35679.00";"18291990619.00";"0.04";"52.00";"";"0.038";"0.00";"";"71";"60";"0.00";"1.00";"0.277";"0.66";"0.07";"14883626.00";"0.56";"403000000.00";"483000000.00";67
"Korea, Dem. Rep.";"Asia";"12/1/2000";"0.02";"";"76699.00";"0";"";"19717.00";"";"";"";"";"0.045";"";"";"69";"61";"";"1.00";"0.260";"0.68";"0.06";"22840225.00";"0.59";"";"";68
"Korea, Rep.";"Asia";"12/1/2000";"0.01";"";"447561.00";"10.9231";"";"188161.00";"561633037420.00";"0.04";"491.00";"";"0.005";"0.40";"0.085";"80";"72";"0.60";"1.00";"0.210";"0.72";"0.07";"47008111.00";"0.80";"8527000000.00";"7945000000.00";69
"Kyrgyz Republic";"Asia";"12/1/2000";"0.02";"";"4529.00";"12.3846";"";"2317.00";"1369691955.00";"0.05";"13.00";"";"0.042";"0.00";"0.519";"72";"65";"0.00";"1.00";"0.350";"0.60";"0.06";"4898400.00";"0.35";"20000000.00";"28000000.00";70
"Lao PDR";"Asia";"12/1/2000";"0.03";"";"972.00";"87.6154";"";"";"1731198022.00";"0.03";"11.00";"";"0.083";"0.00";"0.320";"63";"60";"0.00";"1.00";"0.435";"0.53";"0.04";"5388281.00";"0.22";"114000000.00";"8000000.00";71
"Macao SAR, China";"Asia";"12/1/2000";"0.01";"";"1635.00";"0";"";"";"6101794939.00";"";"";"";"";"0.10";"0.099";"80";"75";"0.30";"1.00";"0.228";"0.70";"0.07";"431907.00";"1.00";"3205000000.00";"";72
"Malaysia";"Asia";"12/1/2000";"0.02";"";"126603.00";"18.9231";"";"47110.00";"93789473684.00";"0.03";"120.00";"";"0.009";"0.20";"0.077";"75";"71";"0.20";"1.00";"0.333";"0.63";"0.04";"23420751.00";"0.62";"5873000000.00";"2543000000.00";73
"Maldives";"Asia";"12/1/2000";"0.03";"";"499.00";"7.23077";"";"";"624337144.00";"0.07";"162.00";"";"0.035";"0.00";"0.130";"70";"69";"0.00";"1.00";"0.413";"0.55";"0.04";"272745.00";"0.28";"321000000.00";"60000000.00";74
"Mongolia";"Asia";"12/1/2000";"0.02";"";"7506.00";"10.4615";"";"2397.00";"1136896162.00";"0.05";"22.00";"";"0.049";"0.00";"0.370";"66";"60";"0.10";"1.00";"0.348";"0.62";"0.04";"2397473.00";"0.57";"43000000.00";"54000000.00";75
"Myanmar";"Asia";"12/1/2000";"0.02";"";"10088.00";"5.53846";"";"12841.00";"";"0.02";"3.00";"";"0.059";"";"0.153";"64";"60";"0.00";"1.00";"0.307";"0.65";"0.05";"48453000.00";"0.27";"195000000.00";"30000000.00";76
"Nepal";"Asia";"12/1/2000";"0.03";"";"3234.00";"23.5385";"";"8108.00";"5494252208.00";"0.05";"12.00";"";"0.060";"0.00";"0.095";"63";"61";"0.00";"1.00";"0.404";"0.56";"0.04";"23184177.00";"0.13";"219000000.00";"109000000.00";77
"Pakistan";"Asia";"12/1/2000";"0.03";"";"106449.00";"17.5385";"";"64067.00";"73952374970.00";"0.03";"15.00";"";"0.088";"";"";"65";"63";"0.00";"1.00";"0.415";"0.55";"0.04";"143832014.00";"0.33";"551000000.00";"574000000.00";78
"Philippines";"Asia";"12/1/2000";"0.03";"";"73307.00";"33.1538";"";"39872.00";"81026294681.00";"0.03";"33.00";"";"0.030";"0.00";"0.109";"70";"64";"0.10";"1.00";"0.385";"0.58";"0.03";"77651848.00";"0.48";"2334000000.00";"1841000000.00";79
"Singapore";"Asia";"12/1/2000";"0.01";"";"49006.00";"3.76923";"";"18692.00";"95835970989.00";"0.03";"662.00";"";"0.003";"0.40";"0.058";"80";"76";"0.70";"1.00";"0.215";"0.71";"0.07";"4027900.00";"1.00";"5142000000.00";"4535000000.00";80
"Sri Lanka";"Asia";"12/1/2000";"0.02";"";"10161.00";"31.0769";"";"8327.00";"16330810304.00";"0.04";"32.00";"";"0.014";"0.00";"0.162";"75";"68";"0.00";"1.00";"0.269";"0.67";"0.06";"19102000.00";"0.18";"388000000.00";"383000000.00";81
"Tajikistan";"Asia";"12/1/2000";"0.03";"";"2237.00";"30.5385";"";"2149.00";"860550294.00";"0.05";"6.00";"";"0.075";"0.00";"0.256";"68";"60";"0.00";"1.00";"0.429";"0.54";"0.04";"6186152.00";"0.27";"";"";82
"Thailand";"Asia";"12/1/2000";"0.02";"";"188355.00";"24.6154";"";"72284.00";"122725247706.00";"0.03";"67.00";"";"0.019";"0.00";"0.078";"75";"67";"0.00";"1.00";"0.242";"0.69";"0.07";"62343379.00";"0.31";"9935000000.00";"3218000000.00";83
"Timor-Leste";"Asia";"12/1/2000";"0.04";"";"122.615";"97.0769";"";"";"350100000.00";"0.05";"19.00";"";"0.084";"";"";"61";"58";"";"1.00";"0.498";"0.48";"0.02";"853585.00";"0.24";"";"";84
"Turkmenistan";"Asia";"12/1/2000";"0.02";"";"35365.00";"0";"";"14871.00";"2904662605.00";"0.04";"44.00";"";"0.066";"0.00";"";"68";"60";"0.00";"1.00";"0.363";"0.59";"0.04";"4501419.00";"0.46";"";"";85
"Uzbekistan";"Asia";"12/1/2000";"0.02";"";"119951.00";"15.5385";"";"50757.00";"13760374488.00";"0.05";"29.00";"";"0.053";"0.00";"";"70";"64";"0.00";"1.00";"0.373";"0.58";"0.04";"24650400.00";"0.37";"63000000.00";"";86
"Vietnam";"Asia";"12/1/2000";"0.02";"";"53645.00";"33.2308";"";"28736.00";"33640085728.00";"0.05";"20.00";"";"0.027";"0.00";"0.106";"78";"69";"0.00";"1.00";"0.316";"0.62";"0.06";"77630900.00";"0.24";"";"";87
"Albania";"Europe";"12/1/2000";"0.02";"";"3022.00";"17.6923";"";"1763.00";"3686649387.00";"0.06";"70.00";"";"0.023";"0.00";"0.221";"77";"71";"0.00";"1.00";"0.303";"0.63";"0.07";"3089027.00";"0.42";"398000000.00";"290000000.00";88
"Andorra";"Europe";"12/1/2000";"0.01";"";"524.00";"0";"";"";"1133644295.00";"0.06";"1330.00";"";"0.004";"0.10";"";"";"";"0.40";"1.00";"";"";"";"65399.00";"0.92";"";"";89
