"Country";"Region";"Year";"Birth Rate";"Business Tax Rate";"CO2 Emissions";"Days to Start Business";"Ease of Business";"Energy Usage";"GDP";"Health Exp % GDP";"Health Exp/Capita";"Hours to do Tax";"Infant Mortality Rate";"Internet Usage";"Lending Interest";"Life Expectancy Female";"Life Expectancy Male";"Mobile Phone Usage";"Number of Records";"Population 0-14";"Population 15-64";"Population 65+";"Population Total";"Population Urban";"Tourism Inbound";"Tourism Outbound";"id"
"Bhutan";"Asia";"12/1/2007";"0.02";"40.80%";"392.00";"48";"";"244.00";"1196091806.00";"0.05";"88.00";"274.00";"0.041";"0.10";"0.140";"66";"65";"0.20";"1.00";"0.320";"0.64";"0.04";"679365.00";"0.33";"47000000.00";"26000000.00";1514
"Brunei Darussalam";"Asia";"12/1/2007";"0.02";"37.40%";"10176.00";"116";"";"3227.00";"12247694247.00";"0.02";"738.00";"144.00";"0.008";"0.40";"0.055";"79";"76";"1.00";"1.00";"0.280";"0.69";"0.03";"381440.00";"0.74";"233000000.00";"430000000.00";1515
"Cambodia";"Asia";"12/1/2007";"0.03";"21.50%";"3484.00";"86";"";"3482.00";"8639164917.00";"0.05";"28.00";"137.00";"0.045";"0.00";"";"72";"66";"0.20";"1.00";"0.341";"0.61";"0.05";"13747288.00";"0.19";"1169000000.00";"194000000.00";1516
"China";"Asia";"12/1/2007";"0.01";"81.20%";"6791805.00";"35";"";"2044606.00";"3494055942162.00";"0.04";"113.00";"832.00";"0.017";"0.20";"0.075";"76";"73";"0.40";"1.00";"0.192";"0.73";"0.08";"1317885000.00";"0.45";"41126000000.00";"33269000000.00";1517
"Georgia";"Asia";"12/1/2007";"0.01";"38.60%";"6190.00";"11";"";"3341.00";"10172260738.00";"0.08";"188.00";"387.00";"0.019";"0.10";"0.171";"77";"70";"0.60";"1.00";"0.176";"0.68";"0.15";"4388400.00";"0.53";"440000000.00";"277000000.00";1518
"Hong Kong SAR, China";"Asia";"12/1/2007";"0.01";"24.10%";"39963.00";"11";"";"14338.00";"211597405594.00";"";"";"80.00";"";"0.60";"0.068";"85";"79";"1.60";"1.00";"0.132";"0.74";"0.12";"6916300.00";"1.00";"18237000000.00";"15042000000.00";1519
"India";"Asia";"12/1/2007";"0.02";"72.70%";"1611404.00";"33";"";"604659.00";"1238700195644.00";"0.04";"40.00";"271.00";"0.052";"0.00";"0.130";"66";"63";"0.20";"1.00";"0.314";"0.64";"0.05";"1159095250.00";"0.30";"11234000000.00";"10690000000.00";1520
"Indonesia";"Asia";"12/1/2007";"0.02";"37.50%";"375545.00";"105";"";"182885.00";"432216737775.00";"0.03";"58.00";"266.00";"0.031";"0.10";"0.139";"71";"67";"0.40";"1.00";"0.300";"0.65";"0.05";"230972808.00";"0.48";"5831000000.00";"6578000000.00";1521
"Japan";"Asia";"12/1/2007";"0.01";"52.50%";"1251136.00";"22";"";"515198.00";"4356346715298.00";"0.08";"2801.00";"350.00";"0.003";"0.70";"0.019";"86";"79";"0.80";"1.00";"0.136";"0.65";"0.21";"127770750.00";"0.88";"12422000000.00";"37261000000.00";1522
"Kazakhstan";"Asia";"12/1/2007";"0.02";"41.40%";"220313.00";"21";"";"66231.00";"104849886826.00";"0.03";"233.00";"271.00";"0.025";"0.00";"";"73";"61";"0.80";"1.00";"0.244";"0.68";"0.07";"15484192.00";"0.54";"1213000000.00";"1396000000.00";1523
"Korea, Dem. Rep.";"Asia";"12/1/2007";"0.02";"";"70370.00";"0";"";"18300.00";"";"";"";"";"0.026";"";"";"72";"65";"";"1.00";"0.239";"0.68";"0.08";"24111989.00";"0.60";"";"";1524
"Korea, Rep.";"Asia";"12/1/2007";"0.01";"30.20%";"495837.00";"17";"";"222147.00";"1122675892646.00";"0.06";"1379.00";"290.00";"0.004";"0.80";"0.066";"83";"76";"0.90";"1.00";"0.180";"0.72";"0.10";"48597652.00";"0.82";"9288000000.00";"24449000000.00";1525
"Kyrgyz Republic";"Asia";"12/1/2007";"0.02";"61.40%";"5871.00";"21";"";"2726.00";"3802566171.00";"0.07";"51.00";"202.00";"0.032";"0.10";"0.253";"72";"64";"0.40";"1.00";"0.304";"0.64";"0.05";"5268400.00";"0.35";"392000000.00";"215000000.00";1526
"Lao PDR";"Asia";"12/1/2007";"0.03";"35.20%";"1668.00";"93";"";"";"4222945530.00";"0.04";"29.00";"672.00";"0.065";"0.00";"0.285";"67";"64";"0.20";"1.00";"0.389";"0.57";"0.04";"6013278.00";"0.30";"190000000.00";"14000000.00";1527
"Macao SAR, China";"Asia";"12/1/2007";"0.01";"";"1404.00";"0";"";"";"18054684854.00";"";"";"";"";"0.50";"0.078";"82";"77";"1.60";"1.00";"0.150";"0.78";"0.07";"493206.00";"1.00";"13733000000.00";"777000000.00";1528
"Malaysia";"Asia";"12/1/2007";"0.02";"36.00%";"205308.00";"31";"";"69970.00";"193552802792.00";"0.04";"256.00";"166.00";"0.007";"0.60";"0.064";"76";"72";"0.90";"1.00";"0.292";"0.66";"0.05";"26813819.00";"0.68";"17948000000.00";"6600000000.00";1529
"Maldives";"Asia";"12/1/2007";"0.02";"9.30%";"917.00";"9";"";"299.00";"1541978559.00";"0.06";"315.00";"";"0.015";"0.20";"0.130";"77";"74";"1.00";"1.00";"0.322";"0.63";"0.05";"308239.00";"0.36";"1515000000.00";"152000000.00";1530
"Mongolia";"Asia";"12/1/2007";"0.02";"39.80%";"10092.00";"13";"";"3114.00";"4234894168.00";"0.06";"93.00";"204.00";"0.033";"0.10";"0.218";"70";"62";"0.50";"1.00";"0.276";"0.69";"0.04";"2595068.00";"0.65";"354000000.00";"227000000.00";1531
"Myanmar";"Asia";"12/1/2007";"0.02";"";"12636.00";"5.53846";"";"15595.00";"";"0.02";"7.00";"";"0.048";"0.00";"0.170";"66";"62";"0.00";"1.00";"0.272";"0.68";"0.05";"50828959.00";"0.30";"97000000.00";"39000000.00";1532
"Nepal";"Asia";"12/1/2007";"0.03";"32.80%";"2699.00";"31";"";"9308.00";"10325618017.00";"0.06";"23.00";"408.00";"0.042";"0.00";"0.080";"67";"65";"0.10";"1.00";"0.387";"0.57";"0.05";"25950022.00";"0.16";"234000000.00";"402000000.00";1533
"Pakistan";"Asia";"12/1/2007";"0.03";"40.20%";"158895.00";"24";"";"83538.00";"152385716312.00";"0.04";"31.00";"560.00";"0.078";"0.10";"0.118";"66";"65";"0.40";"1.00";"0.370";"0.59";"0.04";"163928329.00";"0.35";"912000000.00";"2083000000.00";1534
"Philippines";"Asia";"12/1/2007";"0.03";"49.10%";"69669.00";"47";"";"38514.00";"149359920006.00";"0.04";"65.00";"195.00";"0.027";"0.10";"0.087";"71";"64";"0.60";"1.00";"0.364";"0.60";"0.04";"88875548.00";"0.46";"5520000000.00";"2055000000.00";1535
"Singapore";"Asia";"12/1/2007";"0.01";"23.20%";"17866.00";"5";"";"21819.00";"179981089531.00";"0.04";"1333.00";"80.00";"0.002";"0.70";"0.053";"83";"78";"1.30";"1.00";"0.184";"0.73";"0.09";"4588600.00";"1.00";"9066000000.00";"13409000000.00";1536
"Sri Lanka";"Asia";"12/1/2007";"0.02";"61.70%";"12457.00";"40";"";"9261.00";"32351184234.00";"0.04";"59.00";"256.00";"0.011";"0.00";"0.171";"77";"70";"0.40";"1.00";"0.252";"0.68";"0.07";"20039000.00";"0.18";"750000000.00";"709000000.00";1537
"Tajikistan";"Asia";"12/1/2007";"0.03";"80.00%";"3223.00";"62";"";"2583.00";"3719497371.00";"0.05";"28.00";"224.00";"0.050";"0.10";"0.227";"70";"63";"0.30";"1.00";"0.370";"0.59";"0.04";"7111025.00";"0.27";"16500000.00";"6600000.00";1538
"Thailand";"Asia";"12/1/2007";"0.01";"37.40%";"262205.00";"33";"";"104886.00";"246976870173.00";"0.04";"133.00";"264.00";"0.014";"0.20";"0.071";"76";"70";"0.80";"1.00";"0.212";"0.71";"0.08";"66076927.00";"0.40";"20623000000.00";"6887000000.00";1539
"Timor-Leste";"Asia";"12/1/2007";"0.04";"48.40%";"183.00";"158";"";"61.00";"558700000.00";"0.08";"41.00";"640.00";"0.059";"0.00";"0.150";"66";"63";"0.10";"1.00";"0.477";"0.49";"0.03";"1015482.00";"0.28";"26000000.00";"5000000.00";1540
"Turkmenistan";"Asia";"12/1/2007";"0.02";"";"53516.00";"0";"";"22367.00";"12664165103.00";"0.02";"113.00";"";"0.055";"0.00";"";"69";"61";"0.10";"1.00";"0.311";"0.65";"0.04";"4858236.00";"0.48";"";"";1541
"Uzbekistan";"Asia";"12/1/2007";"0.02";"90.30%";"116944.00";"15";"";"48718.00";"22311393928.00";"0.05";"46.00";"196.00";"0.044";"0.10";"";"71";"64";"0.20";"1.00";"0.317";"0.64";"0.05";"26868000.00";"0.36";"51000000.00";"";1542
"Vietnam";"Asia";"12/1/2007";"0.02";"39.90%";"113651.00";"39";"";"45777.00";"77414425532.00";"0.07";"58.00";"1050.00";"0.022";"0.20";"0.112";"80";"70";"0.50";"1.00";"0.254";"0.68";"0.07";"84221100.00";"0.29";"3750000000.00";"1220000000.00";1543
"Albania";"Europe";"12/1/2007";"0.01";"45.90%";"4056.00";"36";"";"2025.00";"10701011856.00";"0.06";"218.00";"364.00";"0.017";"0.20";"0.141";"80";"73";"0.70";"1.00";"0.250";"0.66";"0.09";"2940880.00";"0.49";"1479000000.00";"1331000000.00";1544
"Andorra";"Europe";"12/1/2007";"0.01";"";"539.00";"0";"";"";"3245411584.00";"0.06";"3012.00";"";"0.003";"0.70";"";"";"";"0.80";"1.00";"";"";"";"81292.00";"0.89";"";"";1545
"Austria";"Europe";"12/1/2007";"0.01";"52.40%";"69141.00";"25";"";"33393.00";"375042040684.00";"0.10";"4636.00";"170.00";"0.004";"0.70";"";"83";"77";"1.20";"1.00";"0.155";"0.68";"0.17";"8300788.00";"0.66";"21088000000.00";"12825000000.00";1546
"Belarus";"Europe";"12/1/2007";"0.01";"120.80%";"60282.00";"48";"";"28039.00";"45275711996.00";"0.06";"304.00";"987.00";"0.006";"0.20";"0.086";"76";"65";"0.70";"1.00";"0.150";"0.71";"0.15";"9560000.00";"0.73";"479000000.00";"724000000.00";1547
"Belgium";"Europe";"12/1/2007";"0.01";"57.30%";"103215.00";"4";"";"57019.00";"459619168192.00";"0.10";"4136.00";"156.00";"0.004";"0.60";"0.086";"83";"77";"1.00";"1.00";"0.169";"0.66";"0.17";"10625700.00";"0.98";"12371000000.00";"19215000000.00";1548
"Bosnia and Herzegovina";"Europe";"12/1/2007";"0.01";"42.80%";"27884.00";"63";"";"5305.00";"15280615815.00";"0.09";"341.00";"368.00";"0.007";"0.30";"0.072";"78";"73";"0.60";"1.00";"0.184";"0.68";"0.14";"3868665.00";"0.39";"804000000.00";"264000000.00";1549
"Bulgaria";"Europe";"12/1/2007";"0.01";"35.80%";"52812.00";"32";"";"20117.00";"42113656147.00";"0.07";"375.00";"616.00";"0.012";"0.30";"0.100";"76";"69";"1.30";"1.00";"0.133";"0.69";"0.18";"7545338.00";"0.71";"4181000000.00";"2142000000.00";1550
"Croatia";"Europe";"12/1/2007";"0.01";"21.40%";"24389.00";"22";"";"9325.00";"59319390298.00";"0.08";"1008.00";"196.00";"0.005";"0.40";"0.093";"79";"72";"1.20";"1.00";"0.157";"0.67";"0.17";"4436000.00";"0.57";"9601000000.00";"1025000000.00";1551
"Cyprus";"Europe";"12/1/2007";"0.01";"";"8196.00";"3.07692";"";"2437.00";"21841815681.00";"0.06";"1691.00";"";"0.004";"0.40";"0.067";"81";"77";"0.90";"1.00";"0.190";"0.70";"0.11";"1063095.00";"0.68";"3108000000.00";"1554000000.00";1552
"Czech Republic";"Europe";"12/1/2007";"0.01";"47.70%";"123948.00";"17";"";"45845.00";"180478622230.00";"0.07";"1144.00";"808.00";"0.004";"0.50";"0.058";"80";"74";"1.30";"1.00";"0.143";"0.71";"0.15";"10298828.00";"0.74";"7775000000.00";"3704000000.00";1553
"Denmark";"Europe";"12/1/2007";"0.01";"32.00%";"50253.00";"6";"";"19763.00";"311417554326.00";"0.10";"5710.00";"135.00";"0.004";"0.90";"";"81";"76";"1.20";"1.00";"0.185";"0.66";"0.16";"5461438.00";"0.86";"5978000000.00";"8830000000.00";1554
"Estonia";"Europe";"12/1/2007";"0.01";"48.40%";"18845.00";"7";"";"5624.00";"21993674015.00";"0.05";"835.00";"81.00";"0.005";"0.70";"0.065";"79";"67";"1.30";"1.00";"0.151";"0.68";"0.17";"1340680.00";"0.69";"1416000000.00";"804000000.00";1555
"Faeroe Islands";"Europe";"12/1/2007";"0.01";"";"774.00";"0";"";"";"2278229880.00";"";"";"";"";"0.80";"";"83";"78";"1.10";"1.00";"";"";"";"49554.00";"0.40";"";"";1556
"Finland";"Europe";"12/1/2007";"0.01";"47.80%";"63982.00";"14";"";"36803.00";"246127525620.00";"0.08";"3751.00";"269.00";"0.003";"0.80";"";"83";"76";"1.10";"1.00";"0.170";"0.67";"0.16";"5288720.00";"0.83";"4287000000.00";"4812000000.00";1557
"France";"Europe";"12/1/2007";"0.01";"65.00%";"375882.00";"7";"";"263542.00";"2582391514260.00";"0.11";"4413.00";"132.00";"0.004";"0.70";"";"85";"78";"0.90";"1.00";"0.184";"0.65";"0.17";"64012572.00";"0.78";"63701000000.00";"46029000000.00";1558
"Germany";"Europe";"12/1/2007";"0.01";"49.00%";"784016.00";"18";"";"330719.00";"3323809686746.00";"0.11";"4231.00";"196.00";"0.004";"0.80";"";"82";"77";"1.20";"1.00";"0.139";"0.66";"0.20";"82266372.00";"0.74";"49332000000.00";"96549000000.00";1559
"Greece";"Europe";"12/1/2007";"0.01";"48.90%";"98246.00";"38";"";"30217.00";"305431981541.00";"0.10";"2682.00";"264.00";"0.004";"0.40";"";"82";"77";"1.10";"1.00";"0.144";"0.67";"0.19";"11163002.00";"0.75";"15687000000.00";"3430000000.00";1560
"Hungary";"Europe";"12/1/2007";"0.01";"55.30%";"55859.00";"16";"";"26729.00";"136102020867.00";"0.08";"1038.00";"340.00";"0.007";"0.50";"0.091";"77";"69";"1.10";"1.00";"0.151";"0.69";"0.16";"10055780.00";"0.67";"5628000000.00";"3088000000.00";1561
"Iceland";"Europe";"12/1/2007";"0.02";"26.20%";"2310.00";"5";"";"4836.00";"20428232684.00";"0.09";"6182.00";"140.00";"0.002";"0.90";"0.193";"83";"80";"1.10";"1.00";"0.215";"0.67";"0.12";"311566.00";"0.93";"848000000.00";"1336000000.00";1562
"Ireland";"Europe";"12/1/2007";"0.02";"25.30%";"44583.00";"13";"";"15120.00";"259574331428.00";"0.08";"4733.00";"76.00";"0.004";"0.60";"";"82";"77";"1.20";"1.00";"0.208";"0.68";"0.11";"4398942.00";"0.61";"9263000000.00";"8785000000.00";1563
"Italy";"Europe";"12/1/2007";"0.01";"75.40%";"462676.00";"13";"";"179599.00";"2127181952205.00";"0.09";"3058.00";"340.00";"0.004";"0.40";"0.063";"84";"79";"1.50";"1.00";"0.141";"0.66";"0.20";"58438310.00";"0.68";"46144000000.00";"32754000000.00";1565
"Latvia";"Europe";"12/1/2007";"0.01";"36.40%";"7928.00";"16";"";"4796.00";"28765687042.00";"0.07";"883.00";"279.00";"0.010";"0.60";"0.109";"77";"66";"1.00";"1.00";"0.142";"0.68";"0.18";"2200325.00";"0.68";"881000000.00";"1021000000.00";1567
"Lithuania";"Europe";"12/1/2007";"0.01";"46.20%";"15137.00";"26";"";"9460.00";"39325985931.00";"0.06";"725.00";"166.00";"0.007";"0.50";"0.069";"77";"65";"1.50";"1.00";"0.159";"0.69";"0.15";"3231294.00";"0.67";"1192000000.00";"1168000000.00";1569
"Luxembourg";"Europe";"12/1/2007";"0.01";"20.00%";"10869.00";"26";"";"4209.00";"51320661751.00";"0.07";"7326.00";"59.00";"0.002";"0.80";"";"82";"77";"1.40";"1.00";"0.182";"0.68";"0.14";"479993.00";"0.87";"4032000000.00";"3476000000.00";1570
"Macedonia, FYR";"Europe";"12/1/2007";"0.01";"20.30%";"11379.00";"15";"";"3045.00";"8159825620.00";"0.07";"272.00";"192.00";"0.011";"0.40";"0.102";"77";"72";"0.90";"1.00";"0.187";"0.70";"0.11";"2096620.00";"0.57";"219000000.00";"147000000.00";1571
"Malta";"Europe";"12/1/2007";"0.01";"";"2725.00";"6.15385";"";"878.00";"7513834700.00";"0.09";"1580.00";"";"0.006";"0.50";"0.062";"82";"78";"0.90";"1.00";"0.164";"0.70";"0.14";"406724.00";"0.94";"1185000000.00";"284000000.00";1572
"Moldova";"Europe";"12/1/2007";"0.01";"42.50%";"4686.00";"23";"";"3342.00";"4402495921.00";"0.11";"134.00";"234.00";"0.017";"0.20";"0.188";"72";"64";"0.50";"1.00";"0.177";"0.71";"0.11";"3576910.00";"0.45";"229000000.00";"290000000.00";1573
"Montenegro";"Europe";"12/1/2007";"0.01";"30.40%";"2252.00";"24";"";"1086.00";"3673382212.00";"0.07";"414.00";"372.00";"0.008";"0.30";"0.092";"76";"72";"1.50";"1.00";"0.199";"0.67";"0.13";"617800.00";"0.63";"660000000.00";"58000000.00";1575
"Netherlands";"Europe";"12/1/2007";"0.01";"41.80%";"171766.00";"8";"";"79350.00";"782567278575.00";"0.11";"5150.00";"180.00";"0.004";"0.90";"0.046";"82";"78";"1.20";"1.00";"0.181";"0.67";"0.14";"16381696.00";"0.85";"19922000000.00";"19477000000.00";1576
"Norway";"Europe";"12/1/2007";"0.01";"41.10%";"45089.00";"7";"";"27547.00";"393479385840.00";"0.10";"7978.00";"87.00";"0.003";"0.90";"0.066";"83";"78";"1.10";"1.00";"0.193";"0.66";"0.15";"4709153.00";"0.78";"5322000000.00";"13256000000.00";1577
"Poland";"Europe";"12/1/2007";"0.01";"43.40%";"315637.00";"31";"";"96824.00";"425321502151.00";"0.06";"706.00";"418.00";"0.006";"0.50";"";"80";"71";"1.10";"1.00";"0.156";"0.71";"0.13";"38120560.00";"0.61";"11686000000.00";"8342000000.00";1578
"Portugal";"Europe";"12/1/2007";"0.01";"42.90%";"60865.00";"6";"";"25302.00";"231741732391.00";"0.10";"2185.00";"328.00";"0.003";"0.40";"";"82";"75";"1.30";"1.00";"0.154";"0.67";"0.18";"10542964.00";"0.59";"12917000000.00";"4864000000.00";1579
"Romania";"Europe";"12/1/2007";"0.01";"45.60%";"100960.00";"9";"";"39757.00";"170616958884.00";"0.05";"414.00";"202.00";"0.015";"0.30";"0.133";"76";"69";"0.90";"1.00";"0.150";"0.70";"0.15";"20882982.00";"0.53";"2073000000.00";"1725000000.00";1580
"Russian Federation";"Europe";"12/1/2007";"0.01";"51.20%";"1667598.00";"29";"";"672591.00";"1299705247686.00";"0.05";"487.00";"448.00";"0.012";"0.20";"0.100";"74";"61";"1.20";"1.00";"0.147";"0.72";"0.14";"142114903.00";"0.74";"12427000000.00";"23248000000.00";1581
"Serbia";"Europe";"12/1/2007";"0.01";"35.80%";"52251.00";"23";"";"16602.00";"38952093544.00";"0.10";"547.00";"279.00";"0.007";"0.30";"0.111";"76";"71";"1.00";"1.00";"0.176";"0.69";"0.14";"7381579.00";"0.55";"1016000000.00";"1202000000.00";1583
"Slovak Republic";"Europe";"12/1/2007";"0.01";"47.30%";"36600.00";"27";"";"17850.00";"84108560088.00";"0.08";"1078.00";"325.00";"0.008";"0.60";"0.080";"78";"71";"1.10";"1.00";"0.159";"0.72";"0.12";"5374622.00";"0.55";"2352000000.00";"1825000000.00";1584
"Slovenia";"Europe";"12/1/2007";"0.01";"38.40%";"16212.00";"60";"";"7321.00";"47349639895.00";"0.08";"1850.00";"260.00";"0.003";"0.60";"0.059";"82";"75";"1.00";"1.00";"0.140";"0.70";"0.16";"2018122.00";"0.50";"2465000000.00";"1260000000.00";1585
"Spain";"Europe";"12/1/2007";"0.01";"62.10%";"358237.00";"47";"";"143836.00";"1441427520487.00";"0.09";"2752.00";"298.00";"0.004";"0.60";"";"84";"78";"1.10";"1.00";"0.146";"0.69";"0.17";"45226803.00";"0.78";"65020000000.00";"24355000000.00";1586
"Sweden";"Europe";"12/1/2007";"0.01";"53.70%";"48060.00";"16";"";"50060.00";"462512853670.00";"0.09";"4526.00";"122.00";"0.003";"0.80";"";"83";"79";"1.10";"1.00";"0.169";"0.66";"0.18";"9148092.00";"0.85";"12259000000.00";"14336000000.00";1587
"Switzerland";"Europe";"12/1/2007";"0.01";"27.90%";"38019.00";"18";"";"25760.00";"450529673716.00";"0.10";"6126.00";"63.00";"0.004";"0.80";"0.032";"84";"79";"1.10";"1.00";"0.157";"0.68";"0.16";"7551117.00";"0.74";"14721000000.00";"12298000000.00";1588
"Turkey";"Europe";"12/1/2007";"0.02";"44.30%";"284658.00";"6";"";"100005.00";"647155131952.00";"0.06";"558.00";"223.00";"0.023";"0.30";"";"77";"70";"0.90";"1.00";"0.278";"0.66";"0.07";"69496513.00";"0.69";"21662000000.00";"4254000000.00";1589
"Ukraine";"Europe";"12/1/2007";"0.01";"56.60%";"327595.00";"27";"";"137343.00";"142719009901.00";"0.06";"194.00";"2085.00";"0.012";"0.10";"0.139";"74";"63";"1.20";"1.00";"0.141";"0.70";"0.16";"46509350.00";"0.68";"5320000000.00";"4022000000.00";1590
"United Kingdom";"Europe";"12/1/2007";"0.01";"34.50%";"528906.00";"13";"";"210993.00";"2857082734449.00";"0.09";"3953.00";"105.00";"0.005";"0.80";"0.055";"82";"77";"1.20";"1.00";"0.177";"0.66";"0.16";"61322463.00";"0.81";"48193000000.00";"86747000000.00";1591
"Bahrain";"Middle East";"12/1/2007";"0.02";"14.70%";"22398.00";"9";"";"8962.00";"21730590263.00";"0.04";"648.00";"36.00";"0.009";"0.30";"0.083";"77";"75";"1.10";"1.00";"0.233";"0.75";"0.02";"1032353.00";"0.88";"1854000000.00";"671000000.00";1592
"Iran, Islamic Rep.";"Middle East";"12/1/2007";"0.02";"44.20%";"539790.00";"28";"";"190620.00";"286057933326.00";"0.05";"220.00";"344.00";"0.019";"0.10";"0.120";"74";"70";"0.40";"1.00";"0.242";"0.71";"0.05";"71809219.00";"0.69";"1950000000.00";"7335000000.00";1593
"Iraq";"Middle East";"12/1/2007";"0.03";"27.80%";"62834.00";"32";"";"23696.00";"88837727881.00";"0.04";"95.00";"312.00";"0.032";"0.00";"0.195";"72";"66";"0.50";"1.00";"0.417";"0.55";"0.03";"28740630.00";"0.69";"555000000.00";"705000000.00";1594
"Israel";"Middle East";"12/1/2007";"0.02";"35.20%";"66424.00";"20";"";"20700.00";"174967936224.00";"0.08";"1730.00";"230.00";"0.004";"0.50";"0.069";"82";"88";"1.30";"1.00";"0.275";"0.62";"0.10";"7180100.00";"0.92";"4405000000.00";"4669000000.00";1595
"Jordan";"Middle East";"12/1/2007";"0.03";"31.10%";"21540.00";"13";"";"7209.00";"17110610000.00";"0.08";"252.00";"136.00";"0.019";"0.20";"0.087";"75";"71";"0.80";"1.00";"0.368";"0.60";"0.03";"5661000.00";"0.82";"2754000000.00";"1024000000.00";1596
"Kuwait";"Middle East";"12/1/2007";"0.02";"10.70%";"75236.00";"35";"";"26389.00";"114721830986.00";"0.02";"954.00";"98.00";"0.010";"0.30";"0.085";"75";"73";"0.60";"1.00";"0.254";"0.72";"0.03";"2554920.00";"0.98";"530000000.00";"7267000000.00";1597
"Lebanon";"Middle East";"12/1/2007";"0.01";"35.40%";"14972.00";"46";"";"4206.00";"24577114428.00";"0.08";"480.00";"180.00";"0.011";"0.20";"0.103";"80";"76";"0.30";"1.00";"0.266";"0.66";"0.08";"4139813.00";"0.87";"5796000000.00";"3914000000.00";1598
"Oman";"Middle East";"12/1/2007";"0.02";"12.00%";"44587.00";"35";"";"17583.00";"41901170689.00";"0.03";"403.00";"62.00";"0.010";"0.20";"0.073";"77";"73";"1.00";"1.00";"0.327";"0.65";"0.02";"2569739.00";"0.74";"905000000.00";"952000000.00";1599
"Qatar";"Middle East";"12/1/2007";"0.01";"11.30%";"67242.00";"7";"";"22790.00";"79712085615.00";"0.02";"1600.00";"36.00";"0.008";"0.40";"0.074";"79";"77";"1.10";"1.00";"0.183";"0.81";"0.01";"1152459.00";"0.98";"";"";1600
"Saudi Arabia";"Middle East";"12/1/2007";"0.02";"14.50%";"393535.00";"20";"";"144109.00";"415909018143.00";"0.04";"566.00";"79.00";"0.016";"0.30";"";"76";"73";"1.10";"1.00";"0.328";"0.64";"0.03";"25915624.00";"0.81";"6907000000.00";"21031000000.00";1601
"Syrian Arab Republic";"Middle East";"12/1/2007";"0.03";"43.30%";"57429.00";"43";"";"22803.00";"40405006007.00";"0.04";"79.00";"336.00";"0.015";"0.10";"0.102";"77";"73";"0.30";"1.00";"0.373";"0.59";"0.04";"19561477.00";"0.55";"2972000000.00";"710000000.00";1602
"United Arab Emirates";"Middle East";"12/1/2007";"0.02";"14.40%";"139405.00";"18";"";"51975.00";"257916140791.00";"0.03";"1184.00";"12.00";"0.008";"0.60";"";"77";"75";"1.30";"1.00";"0.162";"0.83";"0.01";"5797347.00";"0.83";"6072000000.00";"11273000000.00";1603
"Yemen, Rep.";"Middle East";"12/1/2007";"0.03";"47.90%";"21712.00";"63";"";"7014.00";"25633674564.00";"0.05";"57.00";"248.00";"0.052";"0.10";"0.180";"63";"61";"0.20";"1.00";"0.442";"0.53";"0.03";"21182162.00";"0.30";"425000000.00";"247000000.00";1604
"Australia";"Oceania";"12/1/2007";"0.01";"50.10%";"377235.00";"3";"";"118655.00";"853854910890.00";"0.09";"3956.00";"107.00";"0.005";"0.70";"0.082";"84";"79";"1.00";"1.00";"0.193";"0.68";"0.13";"20827600.00";"0.88";"25624000000.00";"20429000000.00";1606
"Fiji";"Oceania";"12/1/2007";"0.02";"41.50%";"1203.00";"46";"";"524.00";"3405050612.00";"0.04";"152.00";"140.00";"0.020";"0.10";"0.090";"72";"66";"0.60";"1.00";"0.296";"0.66";"0.04";"835392.00";"0.51";"725000000.00";"130000000.00";1607
"French Polynesia";"Oceania";"12/1/2007";"0.02";"";"843.00";"0";"";"";"";"";"";"";"";"0.30";"";"77";"73";"0.70";"1.00";"0.260";"0.68";"0.06";"260361.00";"0.57";"537000000.00";"153000000.00";1608
"Kiribati";"Oceania";"12/1/2007";"0.02";"31.80%";"51.00";"31";"";"11.00";"123005090.00";"0.12";"160.00";"120.00";"0.050";"0.10";"";"70";"64";"0.00";"1.00";"0.357";"0.61";"0.04";"93401.00";"0.44";"4000000.00";"9100000.00";1610
"Marshall Islands";"Oceania";"12/1/2007";"0.04";"64.80%";"99.00";"17";"";"32.00";"149739017.00";"0.20";"587.00";"128.00";"0.032";"0.00";"";"";"";"";"1.00";"";"";"";"52150.00";"0.71";"4500000.00";"";1611
"Micronesia, Fed. Sts.";"Oceania";"12/1/2007";"0.03";"58.70%";"99.00";"16";"";"";"255890836.00";"0.12";"292.00";"128.00";"0.035";"0.10";"0.140";"69";"67";"0.30";"1.00";"0.382";"0.58";"0.04";"105097.00";"0.22";"25000000.00";"7000000.00";1612
"New Caledonia";"Oceania";"12/1/2007";"0.02";"";"2945.00";"0";"";"";"";"";"";"";"";"0.40";"";"80";"72";"0.70";"1.00";"0.255";"0.67";"0.08";"242400.00";"0.65";"142000000.00";"149000000.00";1613
"New Zealand";"Oceania";"12/1/2007";"0.02";"35.50%";"33648.00";"12";"";"17123.00";"135294884584.00";"0.09";"2694.00";"172.00";"0.005";"0.70";"0.086";"82";"78";"1.00";"1.00";"0.211";"0.67";"0.12";"4228300.00";"0.86";"5413000000.00";"3077000000.00";1614
"Papua New Guinea";"Oceania";"12/1/2007";"0.03";"41.50%";"4903.00";"51";"";"";"6329292929.00";"0.04";"41.00";"207.00";"0.054";"0.00";"0.098";"63";"59";"0.00";"1.00";"0.397";"0.58";"0.03";"6397623.00";"0.13";"4500000.00";"81000000.00";1615
